City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
30,Srednekolymsk,67.45,153.6833,-21.62,93,20,5.59,RU,2022-02-14 01:35:19
31,Stepnyak,52.8339,70.7803,3.47,94,100,5.28,KZ,2022-02-14 01:35:20
32,Jamestown,42.097,-79.2353,15.3,61,40,5.75,US,2022-02-14 01:35:20
33,Wewak,-3.5534,143.6268,83.16,75,97,2.66,PG,2022-02-14 01:35:21
34,Kovdor,67.5662,30.4758,16.18,96,100,3.33,RU,2022-02-14 01:35:21
35,Brae,60.3964,-1.353,39.11,83,100,18.28,GB,2022-02-14 01:35:21
36,Key West,24.5557,-81.7826,70.0,83,20,12.66,US,2022-02-14 01:35:22
37,Wanaka,-44.7,169.15,69.12,42,96,1.99,NZ,2022-02-14 01:35:23
38,Souillac,-20.5167,57.5167,80.37,94,75,9.22,MU,2022-02-14 01:35:23
39,Katobu,-4.9408,122.5276,82.04,74,72,5.19,ID,2022-02-14 01:35:24
40,Chuy,-33.6971,-53.4616,58.44,67,5,7.31,UY,2022-02-14 01:35:24
41,Victoria,22.2855,114.1577,65.17,79,48,5.99,HK,2022-02-14 01:32:56
42,Waitara,-38.925,174.25,69.22,49,10,18.39,NZ,2022-02-14 01:35:25
43,Butaritari,3.0707,172.7902,81.12,77,32,12.28,KI,2022-02-14 01:35:25
