City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Kruisfontein,ZA,-34.0033,24.7314,64.63,86,100,13.22,light rain
278,Manggar,ID,-2.8833,108.2667,84.47,68,48,5.7,scattered clouds
279,Puerto Escondido,MX,15.85,-97.0667,79.63,65,40,0.0,scattered clouds
280,Aginskoye,RU,51.1,114.53,-3.75,85,90,4.5,overcast clouds
281,Souillac,MU,-20.5167,57.5167,82.36,94,75,9.22,light rain
282,Kashan,IR,33.9831,51.4364,42.22,63,0,2.24,clear sky
283,Nioro,GM,13.35,-15.75,70.16,19,32,6.17,scattered clouds
284,Paamiut,GL,61.994,-49.6678,8.96,88,100,17.11,overcast clouds
285,Haines Junction,CA,60.7522,-137.5108,13.95,85,80,1.14,broken clouds
286,Trorod,DK,55.8395,12.5443,41.99,83,100,15.68,overcast clouds
287,Cherskiy,RU,68.75,161.3,-22.0,97,94,5.84,overcast clouds
288,De-Kastri,RU,51.4667,140.7833,11.79,89,100,3.74,overcast clouds
289,Coolum Beach,AU,-26.5333,153.1,77.11,90,49,13.0,heavy intensity rain
290,Norman Wells,CA,65.282,-126.8329,-7.56,71,75,2.3,light snow
291,Constitucion,CL,-35.3333,-72.4167,58.71,89,72,2.3,broken clouds
292,Lavrentiya,RU,65.5833,-171.0,-21.24,93,12,5.17,few clouds
293,Roma,US,43.2128,-75.4557,12.83,76,100,5.75,overcast clouds
294,Mezhdurechensk,RU,53.6942,88.0603,21.15,92,100,3.36,light snow
295,Acajutla,SV,13.5928,-89.8275,81.81,60,0,9.31,clear sky
296,Bang Saphan,TH,11.2126,99.5117,85.95,62,57,5.08,light rain
297,Alexandria,EG,31.2156,29.9553,52.34,82,40,8.05,scattered clouds
298,Dok Kham Tai,TH,19.1624,99.9934,83.61,23,49,4.07,scattered clouds
299,Hervey Bay,AU,-25.2986,152.8535,80.71,77,42,19.75,light rain
300,Bridgetown,BB,13.1,-59.6167,77.49,73,40,16.11,scattered clouds
301,Aksarka,RU,66.5606,67.7975,-13.5,98,100,3.15,overcast clouds
302,Honiara,SB,-9.4333,159.95,80.67,88,99,5.19,light rain
303,Erlenbach,DE,49.1725,9.2683,42.57,63,13,4.81,few clouds
